,Comment,Likes,Time,UserLink,user
30,"I love my S23 Ultra, I can't get over the things this phone can do, and the camera well thats self explanatory. Awesome phone!!!",1,2 weeks ago,,
31,I dont see that much difference than older models,100,2 months ago,,
32,Ssoooo for those of us who dont care about pretending to be a professional photographer what else is special about this phone. Like why would u want to upgrade from my s22 ultra? Lol,3,2 months ago,,
33,The editing is of next level to make s23 ultra feel like ultra,18,2 months ago,,
34,This newly masterpiece gonna rule over people's hearts. ️,8,2 months ago,,
35,I just got it a few weeks ago and have been in love with it since.,0,2 weeks ago,,
36,great stuff Samsung as always! doing my pre order now!,10,2 months ago,,
37,"Love this next level commercial, looks like we are in the future right now!",17,2 months ago,,
38,Love love love! This will be my next new phone. Haven't felt the need to upgrade my S10+ since release... I think now is the time and I'm EXCITED!!!!,48,2 months ago,,
39,"Very Sad, Collecting lacs of bucks for phone, but not giving head phone and charger",1,2 months ago,,
40,This was way better then I was expecting! I might upgrade from 13 pro max to S23U just because I prefer Samsung,28,2 months ago,,
41,Back to old school. Informative and fun,1,2 months ago,,
42,Ok now this has got to be one of THE MOST epic introductions from Samsung ever like bruh this phone looks so fantastic and majestic just like the s22 ultra I'm inlove,6,2 months ago,,
43,Now it is called performance booster in every thing ️,5,2 months ago,,
44,Being an S22 Ultra user i thought there couldn't be any better phone and the S23 ultra will jst have some extra stuff and nothing more but these huge internal upgrades are making me want the s23 ultra now️,20,2 months ago,,
45,Good thing they fixed this low light photo/video issue this was one of the reason I ditched S22 ultra. Definitely looking forward to upgrade from S10+ to S23 ultra.,3,2 months ago,,
46,"The design is very similar to S22 Ultra, but I'm rooting for the camera upgrade",1,2 months ago,,
47,"this comercial makes me want to buy it right now, i loved everything about it and i loved the phone as well.",1,2 months ago,,
48,"Dude I'm impressed by those front and rear cameras️‍️, I really want one i will start saving money but till then s24 ultra will be launched",15,2 months ago,,
49,"Finally Samsung has shed some light on videography. Upto the S22 series, this was the only problem. Looks like they've solved it in it's predecessor",2,2 months ago,,
50,This was truly epic,5,2 months ago,,
51,"This is not just an adso engaging, well done",0,1 month ago,,
52,"What's new ? in fact nothing... only normal upgrades compare to the last year device... And from an Note 10+ device, I don't have the woaw effect... neither design nor features has changes or improved.... But have to admit the price for the same performance (1100€ to 1600€)",26,2 months ago,,
53,"I'm just in love with Samsung wow, this introduction alone is so special",0,2 months ago,,
54,"I think I can speak for everyone when I say, THIS WAS AN AMAZING, WELL EXECUTED VIDEO, showing us what’s new about our life companion!",5,2 months ago,,
55,This is embarrassing.,17,2 months ago,,
56,Now I want this even more...,0,2 months ago,,
57,I hope the astrophotography mood will come with an update on s22 ultra I love discovering space  ️,4,2 months ago,,
58,"I've been with Samsung since the Galaxy S6, which I still own. Just pre ordered mine. I'm upgrading from the S20 Plus 5G to S23 Galaxy Ultra.",2,2 months ago,,
59,"Whatever, the design looks cheap, it runs Android, full of malware and Spyware, so enjoy yourself",11,2 months ago,,
60,This is the most beautiful ad I've ever seen. It's so fun,4,2 months ago,,
61,"Looks so awesomeGot the S22U, it's AMAZING...I'll be back 4 the S24U",44,2 months ago,,
62,Amo Samsung,1,9 days ago,,
63,love it ️,0,2 months ago,,
64,An Apple user Will regrets buying iphone,1,2 months ago,,
65,"envious of the SD 8 gen 2, from my s22+. though the battery here is also very doable, can't imagine how stress free it would be with the s23 series in terms of power backup",4,2 months ago,,
66,Absolutely incredible introduction video,1,2 months ago,,
67,"Seems great despite looking like iterative update. Anyway, one disappointed aspect is Samsung does not up the ante for Ultra Wide Angle Camera. Oppo able to fit same sensor as main sensor on Find X5 pro which have among the best ultra-wide camera (day and night). Wish Samsung put bigger and better sensor for Ultra-wide camera.",1,2 months ago,,
68,This is my first time getting a flagship model since the existence of smartphone. I swear I gonna rewatch every S23 ultra videos on youtube once I get my phone next week,0,1 month ago,,
69,Very good design and awesome features.,1,2 months ago,,
70,OKay Samsung Racist much? Why you gotta include the black guy last?,1,2 months ago,,
71,"I just love how the sync or union everything with each other. I have been using Samsung specially the Note ""Ultra"" line for more than 12 years.They only need to make the charging time as fast as the chines phones.I have the tab S8 Ultra, S22 Ultra, Smart watch4 and I'm thinking now for the Samsung Book Ultra but I can't afford the price nowwonderful Unpack show",12,2 months ago,,
72,Now I want this even more ..... !!,3,2 months ago,,
73,I think I'll put my iPhone aside to experience this beauty,3,2 months ago,,
74,This is a masterpiece,0,2 months ago,,
75,Now that was epic,4,2 months ago,,
76,"I have an S8 since 2017. I waited and waited, and raised some money for a new phone. I am thinking at S23U, not sure though due to its sizes. It seems so big, but with all the new specs and camera upgrades I do think it is a good deal. I use my phone for social media, email and a lot of photos (nature mostly and family photos). My S8 battery started to show signs of getting old a few months ago. I thought of other brands as well, but I am a Samsung fan. I am thinking about S23U also because of its battery (which is bigger than the on on S23+). A lot of you mention S22U as being a good phone (no doubt about that), but I cannot say the price makes a huge difference between both of them, and taking into account the upgrades S23U has, I think it is worth it. Any suggestions?",0,2 months ago,,
77,Literally goosebumps when she introduces a feature to him,3,2 months ago,,
78,Already preordered. Wanted to be among the first to get my hands on this one!,6,2 months ago,,
79,Was waiting for samsung to release S23 for a long time n finally s23 is out n it's crazy man... Hope I can afford to buy my dream phone one day...,0,2 months ago,,
80,"This is so awesome!! I've ordered my S23 Ultra, can't wait to get it!!",1,2 months ago,,
81,this commercial is AWESOME!!!love it,1,2 months ago,,
82,"I really love my S23 Ultra, but I am not a fan of this commercial lol",1,2 months ago,,
83,"Though not buying it,but this introduction put a smile on me ️",4,2 months ago,,
84,"The best way to shoot quality photos with the new Samsung Galaxy S32 Ultra is to use the 50MP mode and then scale down the size to 4000 x 3000 pixels (12MP, 4:3 aspect ratio) or crop the latter to 4000 x 2250 pixels (9MP, 16:9 ratio). This results into extremely detailed photos with small file size. I'm wondering, why the ""Samsung"" engineers were not smart enough to include those two options in the phone's camera app? I used to have S21 and did the same trick with its 64MP photos that I scaled down to incredibly natural looking 9MP ones with an aspect ratio of 16:9. The default 12MP photos of S23 Ultra are oversharpened and unnatural.",0,2 months ago,,
85,All ready loving it,2,2 months ago,,
86,"Samsung, you guys gotta get rid of the curve..it's obsolete and temper glass won't stay in tact because of it",0,1 month ago,,
87,Can you stop giving us curved edges please? Thank you,1,2 months ago,,
88,Watching this on old Galaxy Note 10 Plus & loving it!,1,2 months ago,,
89,Watching this in my Galaxy Note 8. Would consider this year's release if I can get it cheaper. S22 Ultra last year has a New Year's promo reducing the retail price by around 17%. My phone is a bit slow now so I am aiming for a new Phone with S-Pen.,18,2 months ago,,
90,Goosebumps ️️,2,2 months ago,,
91,"refreshing to see video like this,, fun and informative! love it...",1,2 months ago,,
92,"i have already ordered s23u in graphite colour, can't wait to get my hands on️",1,2 months ago,,
93,Now that's how you do an introduction film. Kudos Samsung,122,2 months ago,,
94,Omg it's amazing  I like it,0,2 months ago,,
95,"Still using my Note 9, but I might finally upgrade",9,2 months ago,,
96,Price is too high,2,2 months ago,,
97,Love it,1,2 months ago,,
98,Masterpiece,1,2 months ago,,
99,"Bruh, I expected a better official introduction video for the S23 Ultra. The Galaxy S21 and S22 Ultra introductions were so amazing!",64,2 months ago,,
100,Who ever made this video deserves a raise ️,0,2 months ago,,
101,Just incredible like always ️,4,2 months ago,,
102,This is amazing! ️,2,2 months ago,,
103,"""Look at you with your fancy pen"" is something people actually say, the most realistic line in this video",0,2 months ago,,
104,In love with this commercial,0,2 months ago,,
105,This was such a bad commercial. You guys should definitely improve the writing and directing of these commercials,0,2 months ago,,
106,Its incredible.,1,2 months ago,,
107,Love this one.,3,2 months ago,https://www.youtube.com/channel/UCLVncs-1iVf4f1tW5WSfQfw,
108,S-series smartphones are probably the best android phones in any segment all around the globe. Loved it.,1,2 months ago,,
109,Best phone productivity hands down,0,2 months ago,,
110,This is worth the hype!,0,2 months ago,,
111,Just pre-booked in India. Should be getting delivered by 20 Feb. So long waiting to buy a S23,0,2 months ago,,
112,This is the best Samsung commercial in decades! Make me really want to get S23 ultra.Maybe i will,1,2 months ago,,
113,I love it S23 with one ui 5.1 ️,26,2 months ago,,
114,Okay!!!This was freaking 'Epitome of Epicosity'.,2,2 months ago,,
115,Excellent! Fantastic! What a beautiful phone ad! And a brilliant phone too!,0,2 months ago,,
116,Thank you very much for the excellent and distinctive explanation. Is the device available for call recording?,0,2 months ago,,
117,Amazing I love to see Samsung unpackes,1,2 months ago,,
118,Already using S22 Ultra for year. But didn't notice much difference in S23 Ultra. Decided to keep for another year. May b next year Samsung will come with new much more better features and design.,0,2 months ago,,
119,S23 ultra - the best smartphone in the world. Samsung will rule year 2023 with S23,4,2 months ago,,
120,"Its durability increase on every S generation, I'm using S20FE now and its still working like miracle (the last OS updates were game changer)",1,2 months ago,,
121,Just preordered it... can't wait to have on my hand...,0,2 months ago,,
122,I have the s22 ultra for the past 8 months and it's awesome,0,2 months ago,,
123,Unbelievable!,1,2 months ago,,
124,I bought it and i love it!,0,2 weeks ago,,
125,Absolutely  epic ....King,4,2 months ago,,
126,It makes me think the S24 Ultra will be completely different. The fact they've basically kept the same design and just changed the camera quality and storage capacity makes me think hmmm what will the S24 Ultra look like? I'm keeping my S22 Ultra love it. Still have my S10+ and S20 Ultra,2,2 months ago,,
127,I'm sorry but this commercial is just cringey asf bruh lol. Like this commercial would've worked out if we were like in the early 2000's but we're in 2023 now lol,0,2 months ago,,
128,Im gonna buy it,0,2 months ago,,
129,"I like this ad, now I know what I can use the features for. I'm using S21 and probably want to upgrade to S23",1,2 months ago,,
130,That's was amazing,0,2 months ago,,
131,Still have the Note 10 Plus and works well even when it is just Android 12. Though I am already thinking of upgrading. :D,3,2 months ago,,
132,Wow. We all need to check this out real soon.,1,2 months ago,,
133,I’m excited for this year’s over the horizon,1,2 months ago,,
134,"Love this commercial !, hope that i can have that S23 ultra",0,2 months ago,,
135,Best mobile commercial ever made ️,0,2 months ago,,
136,Ayyyyy .... Super fun .... What a level of presentation... Mind blowing...,0,2 months ago,,
137,Im excited to upgrade from s21 ultra to this beast!!!,3,2 months ago,,
138,Love it,0,2 months ago,,
139,Wonderful ️,0,2 months ago,,
140,The real Beast,0,2 months ago,,
141,This commercial is embarrassing it's so bad.,0,2 months ago,,
142,Stupid ad,0,2 months ago,,
143,It's crazy how brighter the vieos are on the S23,32,2 months ago,,
144,Congratulations to the World Here is another greatest creation from Samsung Best wishes for you my love Samsung,1,2 months ago,,
145,Dream one️‍,0,2 months ago,,
146,Samsung never disappoints.... Stunning phone again!!!!!,0,2 months ago,,
147,Happy with the introduction  but sad that I cannot by such an expensive phone I love,1,2 months ago,,
148,Sure will get S23 UltraCan't wait the year 2123 to get it,1,2 months ago,,
149,Just taken pre order for S23 Ultra 512 GB RED and can't wait to hand's on,3,2 months ago,,
150,I love it.,0,2 months ago,,
151,S22 was already amazingthis is also Gonna be Amazing.,8,2 months ago,,
152,Looks like an awesome phone with a cool hype video but I love my Z Flip 4 already,0,2 months ago,,
153,"their putting a huge push on taking pictures and videos in the dark and stable videos and stuff thats great but im not big on the camera features at all like in general, but i am happy that the cooling vapor chamber is bigger and more efficent. but thats it, its gunna be a good phone but ill wait. happy with my s22 ultra.",18,2 months ago (edited),,
154,I'm an s22 ultra user now this is my next beast,0,2 months ago,,
155,this what perfectnesses really are!,3,2 months ago,,
156,amazing,1,2 months ago,,
157,Okay. Must admit this is the best smartphone commercial I have seen in recent times.,0,2 months ago,,
158,wow they made this really well tbh,0,2 months ago,,
159,The legend is back ️️️️️,1,2 months ago,,
160,Yes and I am about to buy that tomorrow,0,3 weeks ago,,
161,Nice introduction film,23,2 months ago,,
162,I can't wait for the s23 ultra and the s23 ultra,0,2 months ago,,
163,"Nightogotophy in space, I like how innovative is that :D",0,2 months ago,,
164,My dream phone ️,0,2 months ago,,
165,S23 Ultra is awesome man ️,0,3 weeks ago,,
166,Wow that was amazing!!,1,2 months ago,,
167,I can never buy it but it was good to see the reviews. I love Samsung a lot.,9,2 months ago,,
168,Would really like to see Samsung Galaxy go back to the S6 Active / metal or even renewed plastic designs for the back plate. Guess I'll just have to keep wishing.,1,2 months ago,,
169,samsung + snapdragon  =  perfect,0,2 months ago,,
170,AWESOME. I already bought two phones . So good,0,2 months ago,,
171,Amazing,0,2 months ago,,
172,Samsung always bring new things,0,2 months ago,,
173,Still sticking with my S20 Ultra for another two years or so. But looks good!,16,2 months ago,,
174,Looks amazing,0,2 months ago,,
175,"Impressive introduction video, how about the battery ? Is that any improvement and not overheating easily? Not a sarcastic post, am a S series user from S2, S6, S9+ and now S21 Ultra, all functions are good just battery easily dropping and sometimes might overheat and need shutdown for cold down.",0,2 months ago,,
176,"Even as an apple fan i gotta admit,the trailer is pretty epic",0,2 months ago,,
177,Those rings around lenses are amazing,12,2 months ago,,
178,Mindblowing for real,0,2 months ago,,
179,I DREAM WITH THIS SMARTPHONE T_T I want ittt so so much!,3,2 months ago,,
180,"Pre-ordered, purchased, can't wait till 2-17-23! In lavender of course!",0,2 months ago,,
181,S22ult is a BOOM last year so many ppl expecting much for this! will be there any significant upgrade..?,0,2 months ago,,
182,Awesome,0,2 months ago,,
183,I never seen a phone or advertising like this before in my life No doubt about samsung,1,2 months ago,,
184,Amazing,0,2 months ago,,
185,Ordered just now,5,2 months ago,,
186,Eagerly waiting for this! Gonna be my first flagship phone.Just waiting for it to be launched in India,0,2 months ago,,
187,Now that's a really EPIC commercial right there Samsung!,1,2 months ago,,
188,S 23 superb ️,0,2 months ago,,
189,Thank you  SAMSUNG for being consumer oriented. You listen to us a lot that's why you deliver the best:),1,2 months ago,,
190,"Let's take a moment to appreciate samsung for not turning off comments like apple always does
I've really started to enjoy their personality more.",0,2 months ago,,
191,I just got the Samsung S22 in December and now the S23 Ultra is out! Looks interesting,21,2 months ago,,
192,Okay this was epic!!!,0,2 months ago,,
193,Great can't wait,2,2 months ago,https://www.youtube.com/channel/UC4A0i8sdz6dHg_0HH15knbw,
194,I wish I could purchase this amazing mobile,0,2 months ago,,
195,"That's it, I'll keep my s22 ultra and wait for the s24 ultra!",0,2 months ago,,
196,Awesome can't wait,0,2 months ago,,
197,Same like Samsung S22 Ultra with some modification.. Awesome it is,5,2 months ago,,
198,If get the chance to buy I still go with S21 ultra model I love it's designed & colour.,0,2 months ago,,
199,I haven't been this excited for a new phone in a while!,13,2 months ago,,
200,"Watching this in 144p, it's like introducing the Galaxy S2",0,2 months ago,,
201,Not enough of an upgrade. I’ll wait for the S24 Ultra.,0,2 months ago,,
202,THIS IS VERY AMAZING,0,2 months ago,,
203,Wow these phones are so great I can't wait least 10 more year's to afford one,0,2 months ago,,
204,These new phones   have been pointless for some years now... The only  aspect that keeps increasing is the price!These would be great if it was the year... 2000,4,2 months ago,,
205,After watching the samples there are some great improvements to video and night time video! For now great job samsung!,0,2 months ago,,
206,Thank you very much Samsung Galaxy came with surprises beyond what we expected and I think we would like to thank all Samsung Galaxy family and employees who have been very successful,2,2 months ago,,
207,"Wow, just wow I will buy it",0,2 months ago,,
208,I have purchased S23 ultra 512 gb variant on 17th but i m facing some display issues after using nd I have contacted customer care for support but he was keep on arguing,0,2 months ago,,
209,Wish I could buy this,0,2 months ago,,
210,this is cute! hope battery  life has no issue on this one,86,2 months ago,,
211,What's new really,1,2 months ago,,
212,Waste of money,1,2 months ago,,
213,they did the APPLE THING of naming every feature,2,2 months ago,,
214,"I'm looking forward to this 100x zoom , space zoom or moon zoom whatever smasung advertised with this stuff. 30x zoom on the s21 plus I can snap pics perfectly of the moon it's amazing so I can't imagine what the s23 ultra with these new features can do.",0,2 months ago,,
215,"I loved this trailer! Just because of this commercial, I gotta change my iphone and buy a s23 ultra",1,2 months ago,,
216,Such detailing is mind supernova-ing,4,2 months ago,,
217,Okay let's do the trade-in again from my S22 Ultra. Looking forward to that astro raw.,0,2 months ago,,
218,One of their best commercials,0,2 months ago,,
219,I want a mini version of ultra next year. Please make this possible SAMSUNG.,0,2 months ago,,
220,Felt nostalgic with the intro,0,2 months ago,,
221,This year will stick with s22 ultra.️,1,2 months ago,,
222,Another great work for Samsung!! Watching this in my s22 ultra so I root for s24 or s25,3,2 months ago,,
223,That was really epic,1,2 months ago,,
224,Awesome representation,0,2 months ago,,
225,"Very nice trailer, well done Samsung! Still sticking to my note 9 that still going solid for God knows how long",0,2 months ago,,
226,Amazing!,2,2 months ago,,
227,watching this video on the same device️ wow,0,2 months ago,,
228,Apple has been real quiet after this dropped.,6,2 months ago,,
229,Samsung's introduction seems more fun and reliable than other mobile company does.,0,2 months ago,,
230,Best intro of the year I'll say️,0,2 months ago,,
231,Simply nice,0,2 months ago,,
232,What a fun ad ️️,0,2 months ago,,
233,Awesome,0,2 months ago,,
234,"""Hey, what's new"" was epic",4,2 months ago,,
235,Amazing!,0,2 months ago,,
236,THIS IS INSANE,2,2 months ago,,
237,"Have been waiting for s23 U for a year now, will get this soon . @samsung",0,2 months ago,,
238,Alright you got me.ill wait for the S 24 ultra so the price will go down a little bit. S22 ultra owner here. I love the s23U tho ️,0,2 months ago (edited),,
239,Such a good ad in a long time,0,2 months ago,,
240,Just Amazing!!,30,2 months ago,,
241,I think the one problem isthat they should improve battery life when caching lots of datas and using max power,0,2 months ago,,
242,"I've been a constant fan of only one thing, Galaxy series.
Right form Samsung S3, Designed for Humans.",0,2 months ago,,
243,Now this was fun to watch,0,2 months ago,,
244,The new Galaxy S23 Ultra also allows you to hook up any stranger whom you've never met in your life for a 3 mins explanation of how good it is !,2,2 months ago,,
245,Amazing,0,2 months ago,,
246,"Nice introduction!! btw, the director are very creative! congratulations!  What's news? It's the samsung galaxy S23 Ultra!!!!",3,2 months ago,,
247,"I don't know why I laugh about this commercial. HAHA. This is fantastic! Well, I look forward buying this thing or S22 Ultra since there is only slight difference haha",0,2 months ago,,
248,Is the Google Pixel 8 Pro camera sensor and Tensor G3 processor going to be inferior than S23 Ultra?,1,2 months ago,,
249,The long awaited phone is here,0,2 months ago,,
250,That was really Epic,1,2 months ago,,
251,I love it,0,2 months ago,,
252,Incredible.Pre-ordering Now!,4,2 months ago,,
253,My favorite choice for always ️️️️ Thank you Samsung    ️,1,2 months ago,,
254,Excellent Performance & Photography,2,2 months ago,,
255,"Samsung always innovative , even is this ad",1,2 months ago (edited),,
256,"Pre-ordered mine in graphite. Upgrading from note 20 ultra. Little bit sad that micro SD card is no longer available, but glad that s-pen still made the cut.",2,2 months ago,,
257,I'm excited for the z fold 5,0,2 months ago,,
258,The green S23 Ultra is awesome.,44,2 months ago,,
259,Amazing,1,2 months ago,,
260,Epic,0,2 months ago,,
261,"Already have my galaxy s ultra green 512 gb, nice phone",0,2 months ago,,
262,"Nice, this was a fun video! I may upgrade this time.",0,2 months ago,,
263,Awesome,2,2 months ago,,
264,Real innovation!,4,2 months ago,,
265,Waiting to get a job just to buy this,0,2 months ago,,
266,Battery improvement is by far the best thing Samsung done this s23 ultra,0,2 months ago,,
267,Incredible phone but can you make a mini ultra the same size a the regular s23,0,1 month ago,,
268,"It's appealing, marketing aspect of the video has enticed me to make this purchase, and the 200MP has got me excited. Decisions!!",0,2 months ago (edited),,
269,So awesome  I’m an apple loyalist but il love to have this phone,0,2 weeks ago,,
270,"I just pre-ordered 1 TB S23 ultra, boom !!!!",5,2 months ago,,
271,"What's the best screen protector you guys recommend? And also case , something durable",0,2 months ago,,
272,"this took me back to the S3 commercial video when it saiddesigned for humans,inspired by naturetime flies...",0,2 months ago,,
273,Wow i wish I could have one,0,2 months ago,,
274,Is it even comfortable to hold? The corners are so sharp!,0,2 months ago,,
275,What’s new: The Name,0,3 weeks ago (edited),,
276,I got the S21 Ultra 512gb Phantom Navy. I skipped on the S22 Ultra. However I don't think i'll skip the S23 this year  Getting a 1 terabyte as well if the option is there.,4,2 months ago,,
277,Love it,0,2 months ago,,
278,this is by far the best introduction for a phone I've ever seen in my life really amazing Samsung,2,2 months ago,,
279,Everything is new,0,2 months ago,,
280,One of the best commercials I have ever seen,0,2 months ago,,
281,Watching this on my S23 Ultra in Cream colorway,0,1 month ago,,
282,"THIS ONE WILL BE THE BEST BY FAR, OFC BETTER THAN APPLE'S iphone 14",33,2 months ago,,
283,I love this,0,2 months ago,,
284,Brilliant!!!,0,2 months ago,,
285,Gosh I need to switch my Fold 4 to this now 🫡,0,2 months ago,,
286,"The ultra needs to have a 2TB variant while the the S+ should have a 1TB variant since SD cards have been removed, just hope they make the larger storage options much cheaper to make up for the removal of the SD cards.",0,2 months ago,,
287,Man this video is so good its making me wanna buy this phone even tho i can't  afford it,0,2 months ago,,
288,Samsung ️,3,2 months ago,,
289,I just pre ordered the S23 ultra in lime color! Can't wait to get it and put it in a black otter box LOL,2,2 months ago,,
290,Again! INCREDIBLE by Samsung! Thanks guys! See ya,1,2 months ago,,
291,I like the presetation,1,2 months ago,,
292,It's pretty much the same as Samsung Galaxy S22. Not much of a huge difference and upgrade.Except for it's camera more powerful and bit more extra features. Otherwise both the series and model are pretty much similar. S22 and S23.,0,2 months ago,,
293,The flagship of flagships,0,2 months ago,,
294,Watching this masterpiece on my Note 9.. I guess it’s time to upgrade,5,2 months ago,,
295,I like when smartphones commercials try to push as much as it is possible unnecessary stats into commercials,0,2 months ago,,
296,That's Awesome,0,2 months ago,,
297,Best Android phone to grab right now. Well executed Samsung!,1,2 months ago,,
298,S23 Ultra Cringe,0,1 month ago,,
299,I'm am glad that I now own the galaxy S23 ultra,0,2 weeks ago,,
300,My s20 ultra still runs fine. I can wait a couple more years until I pick this up for cheap. Says a lot.,3,2 months ago,,
301,"What about the battery? We need a powerful optimization like, you know, and it will be a very nice evolution for that beautiful phone.",0,2 months ago,,
302,"If they just make the software on par with how friendly ios’ software is, id get it",0,2 months ago,,
303,I love the camera,0,2 months ago,,
304,The trade-in value was horrible for the s22 ultra so I'll just wait m I do like the upgrade it features like the better camera and allegedly longer battery life. Not to mention the less curves are appealing. And I make commission from the sales of these from SAMSUNG.,0,2 months ago (edited),,
305,What about battery timings? Can it compete Apple iPhone 14 Pro??,0,2 months ago,,
306,"Now we feel the real innovation, Galaxy S23 series feels the power",8,2 months ago,,
307,It's kinda cringe though,0,2 months ago,,
308,Maybe I'll still stick with my S22 Ultra,0,2 months ago,,
309,"Very Interesting Video,  i like itone day i will buy galaxy s23 Ultra, my dream",0,2 months ago (edited),,
310,It's incredible that Samsung Galaxy is taking pictures of real galaxy,0,2 months ago,,
311,Awesome,0,2 months ago,,
312,"1:26 ""Image simulated for illustrative purposes"" LOL",5,2 months ago,,
313,"I was not planning to move on Samsung after my Samsung S10 Plus (that was a bad experience with Samsung then I have purchased OnePlus 7Pro) but was planning for Samsung post launch of S22 ultra because of the design and waited for a year to price drop.And now Samsung S23 Ultra launched and with the corporate offer I got it at the same price of S22 Ultra.
Loving this monster and in my office people who are having iPhone 14 Pro Max..they are asking for exchange with their device",0,3 weeks ago (edited),,
314,"Samsung 
Pay more 
Get Less",0,2 months ago,,
315,I bought the S21 ultra and I thought of using it till maybe S25 or 26 but S23 seems really promising and I just ordered mine  Samsung you're really gonna make me poor,1,1 month ago,,
316,Wow never seen an ad like this wonderful amazing,0,2 months ago,,
317,I'm getting one at the end of the year,0,2 months ago,,
318,Fix the signal issues with the S22 Ultra first and then we can talk about this one.,3,2 months ago,,
319,Just upgraded to this from S21 Ultra.,0,2 months ago,,
320,One of the reasons I want a new job with good salary,0,2 months ago,,
321,perfect for valentines day,1,2 months ago,,
322,Any new features on Note taking with S pen?? S pen is the main reason many of my friends like this phone.,1,2 months ago,,
323,Love this commercial,0,2 months ago,,
324,bro said thank you and Died,5,2 months ago,,
325,Yes Sir!!! all I keep hearing is good things about this phone The new S23 ultra. I just purchased mine today  (256 gb phantom black )can't go wrong of course. The great thing is i only Paid $559!! for a brand new S23 ultra of course with a trade in my old (Samsung S22 ultra) awesome deal!!!,0,3 weeks ago,,
326,Nothing wen compared to S22 ultra other than 200pxl and processor. No need to upgrade from my S22 ultra,0,2 months ago,,
327,"yep i have to say i've been a samsung fan since 2003 , that's 20 years of loyalty",0,2 months ago (edited),,
328,I have the s22 ultra so I wasn't really impressed until it showed Astrophoto!? The only reason I'm even thinking about upgrading already,1,2 months ago,,
